x,y,z,interval,sample,frame
0.42669,0.15706,0.58898,1,20.0,20.0
0.42924,0.168,0.56925,1,20.1,20.1
0.43292,0.1803,0.5473,1,20.2,20.2
0.4375,0.19369,0.52365,1,20.3,20.3
0.44279,0.2079,0.49883,1,20.4,20.4
0.4486,0.22265,0.47334,1,20.5,20.5
0.45471,0.23769,0.44771,1,20.6,20.6
0.46093,0.25273,0.42246,1,20.7,20.7
0.46706,0.26752,0.3981,1,20.8,20.8
0.47289,0.28177,0.37516,1,20.9,20.9
0.47822,0.29523,0.35415,1,21.0,21.0
0.48287,0.30765,0.33544,1,21.1,21.1
0.48672,0.31887,0.31885,1,21.2,21.2
0.48967,0.32879,0.30404,1,21.3,21.3
0.49162,0.33727,0.29067,1,21.4,21.4
0.49245,0.3442,0.2784,1,21.5,21.5
0.49209,0.34945,0.26689,1,21.6,21.6
0.49041,0.35291,0.25582,1,21.7,21.7
0.48732,0.35445,0.24483,1,21.8,21.8
0.48272,0.35395,0.23359,1,21.9,21.9
0.47651,0.3513,0.22177,1,22.0,22.0
0.46871,0.34641,0.20909,1,22.1,22.1
0.4598,0.33945,0.19547,1,22.2,22.2
0.45042,0.33062,0.18092,1,22.3,22.3
0.44117,0.32014,0.16544,1,22.4,22.4
0.43269,0.3082,0.14901,1,22.5,22.5
0.42558,0.29501,0.13163,1,22.6,22.6
0.42046,0.28079,0.11329,1,22.7,22.7
0.41796,0.26573,0.09399,1,22.8,22.8
0.41868,0.25005,0.07372,1,22.9,22.9
0.42325,0.23396,0.05248,1,23.0,23.0
0.43199,0.21759,0.03032,1,23.1,23.1
0.44396,0.20089,0.00753,1,23.2,23.2
0.45796,0.18371,-0.01556,1,23.3,23.3
0.47275,0.16593,-0.0386,1,23.4,23.4
0.48712,0.1474,-0.06125,1,23.5,23.5
0.49984,0.12801,-0.08316,1,23.6,23.6
0.50969,0.10762,-0.104,1,23.7,23.7
0.51544,0.0861,-0.12341,1,23.8,23.8
0.51587,0.06331,-0.14106,1,23.9,23.9
0.50976,0.03912,-0.15661,1,24.0,24.0
0.49631,0.01353,-0.1699,1,24.1,24.1
0.47639,-0.01296,-0.18157,1,24.2,24.2
0.4513,-0.03974,-0.19245,1,24.3,24.3
0.42234,-0.06616,-0.20337,1,24.4,24.4
0.3908,-0.09161,-0.21516,1,24.5,24.5
0.35799,-0.11546,-0.22865,1,24.6,24.6
0.3252,-0.13709,-0.24466,1,24.7,24.7
0.29373,-0.15586,-0.26404,1,24.8,24.8
0.26488,-0.17117,-0.2876,1,24.9,24.9
0.23995,-0.18237,-0.31618,1,25.0,25.0
0.21982,-0.189,-0.35026,1,25.1,25.1
0.20373,-0.19121,-0.38895,1,25.2,25.2
0.19054,-0.18932,-0.43099,1,25.3,25.3
0.17906,-0.18363,-0.47514,1,25.4,25.4
0.16815,-0.17446,-0.52015,1,25.5,25.5
0.15664,-0.1621,-0.56478,1,25.6,25.6
0.14336,-0.14688,-0.60779,1,25.7,25.7
0.12714,-0.1291,-0.64792,1,25.8,25.8
0.10684,-0.10907,-0.68393,1,25.9,25.9
0.08128,-0.08711,-0.71458,1,26.0,26.0
0.04968,-0.06349,-0.73901,1,26.1,26.1
0.01278,-0.03843,-0.75795,1,26.2,26.2
-0.0283,-0.01212,-0.77252,1,26.3,26.3
-0.07244,0.01527,-0.78382,1,26.4,26.4
-0.11852,0.04353,-0.79298,1,26.5,26.5
-0.16543,0.0725,-0.80111,1,26.6,26.6
-0.21205,0.10197,-0.80934,1,26.7,26.7
-0.25725,0.13177,-0.81877,1,26.8,26.8
-0.29992,0.16171,-0.83052,1,26.9,26.9
-0.33894,0.1916,-0.84571,1,27.0,27.0
-0.37346,0.22127,-0.86512,1,27.1,27.1
-0.40369,0.25064,-0.8881,1,27.2,27.2
-0.43013,0.27963,-0.91371,1,27.3,27.3
-0.45325,0.30816,-0.94095,1,27.4,27.4
-0.47355,0.33617,-0.96888,1,27.5,27.5
-0.4915,0.36358,-0.9965,1,27.6,27.6
-0.50761,0.39032,-1.02286,1,27.7,27.7
-0.52234,0.41632,-1.04697,1,27.8,27.8
-0.53619,0.4415,-1.06788,1,27.9,27.9
-0.54965,0.46579,-1.08461,1,28.0,28.0
-0.56306,0.48911,-1.09648,1,28.1,28.1
-0.57624,0.51135,-1.10398,1,28.2,28.2
-0.58885,0.5324,-1.10792,1,28.3,28.3
-0.60058,0.55213,-1.10907,1,28.4,28.4
-0.6111,0.57044,-1.10823,1,28.5,28.5
-0.62008,0.5872,-1.10618,1,28.6,28.6
-0.62721,0.6023,-1.10371,1,28.7,28.7
-0.63215,0.61562,-1.10162,1,28.8,28.8
-0.63458,0.62704,-1.1007,1,28.9,28.9
-0.63417,0.63645,-1.10172,1,29.0,29.0
-0.63079,0.64378,-1.10528,1,29.1,29.1
-0.62508,0.64911,-1.11119,1,29.2,29.2
-0.61784,0.65258,-1.11904,1,29.3,29.3
-0.6099,0.65434,-1.12843,1,29.4,29.4
-0.60208,0.65451,-1.13896,1,29.5,29.5
-0.59519,0.65324,-1.15022,1,29.6,29.6
-0.59005,0.65066,-1.16183,1,29.7,29.7
-0.58749,0.6469,-1.17338,1,29.8,29.8
-0.58832,0.6421,-1.18447,1,29.9,29.9
-0.59336,0.63641,-1.1947,1,30.0,30.0
-0.60319,0.62994,-1.20376,1,30.1,30.1
-0.6174,0.62281,-1.21175,1,30.2,30.2
-0.63532,0.61512,-1.21883,1,30.3,30.3
-0.65631,0.60697,-1.22518,1,30.4,30.4
-0.67972,0.59845,-1.231,1,30.5,30.5
-0.70489,0.58967,-1.23644,1,30.6,30.6
-0.73116,0.58073,-1.2417,1,30.7,30.7
-0.75787,0.57173,-1.24695,1,30.8,30.8
-0.78439,0.56277,-1.25237,1,30.9,30.9
-0.81005,0.55395,-1.25815,1,31.0,31.0
-0.83422,0.54529,-1.26444,1,31.1,31.1
-0.85646,0.53654,-1.27144,1,31.2,31.2
-0.87631,0.52736,-1.27931,1,31.3,31.3
-0.89335,0.5174,-1.28822,1,31.4,31.4
-0.90714,0.50634,-1.29834,1,31.5,31.5
-0.91725,0.49382,-1.30984,1,31.6,31.6
-0.92325,0.47952,-1.32289,1,31.7,31.7
-0.92469,0.4631,-1.33766,1,31.8,31.8
-0.92116,0.44422,-1.35432,1,31.9,31.9
-0.91221,0.42253,-1.37305,1,32.0,32.0
-0.89761,0.39785,-1.39392,1,32.1,32.1
-0.87789,0.37053,-1.41667,1,32.2,32.2
-0.85378,0.34107,-1.44096,1,32.3,32.3
-0.82602,0.30995,-1.46642,1,32.4,32.4
-0.79533,0.27768,-1.4927,1,32.5,32.5
-0.76245,0.24475,-1.51946,1,32.6,32.6
-0.7281,0.21166,-1.54634,1,32.7,32.7
-0.69302,0.1789,-1.57299,1,32.8,32.8
-0.65793,0.14698,-1.59906,1,32.9,32.9
-0.62357,0.11637,-1.62419,1,33.0,33.0
-0.59053,0.08747,-1.64808,1,33.1,33.1
-0.55885,0.06018,-1.67055,1,33.2,33.2
-0.52841,0.03431,-1.69148,1,33.3,33.3
-0.49913,0.00964,-1.71074,1,33.4,33.4
-0.47089,-0.01403,-1.72821,1,33.5,33.5
-0.44359,-0.0369,-1.74375,1,33.6,33.6
-0.41712,-0.05918,-1.75724,1,33.7,33.7
-0.3914,-0.08107,-1.76856,1,33.8,33.8
-0.3663,-0.10277,-1.77756,1,33.9,33.9
-0.34173,-0.1245,-1.78414,1,34.0,34.0
-0.31762,-0.14643,-1.78819,1,34.1,34.1
-0.29401,-0.16869,-1.78975,1,34.2,34.2
-0.27098,-0.19136,-1.7889,1,34.3,34.3
